time,kw
4403,62505.0
4404,65397.0
4405,63595.0
4406,63871.0
4407,65389.0
4408,65391.0
4409,62822.0
4410,61285.0
4411,58621.0
4412,62629.0
4413,59284.0
4414,59396.001
4415,57788.0
4416,56818.0
4417,56395.0
4418,55581.0
4419,55224.0
4420,55698.0
4421,56645.0
4422,59189.0
4423,59384.0
4424,58170.0
4425,58411.0
4426,54912.0
4427,56724.0
4428,56726.0
4429,56540.0
4430,56553.0
4431,58324.0
4432,58354.0
4433,59091.0
4434,58949.0
4435,57872.0
4436,58968.0
4437,60314.0
4438,61285.0
4439,60379.0
4440,58848.0
4441,58339.0
4442,57987.0
4443,57852.0
4444,58129.0
4445,60206.0
4446,63197.0
4447,65193.0
4448,65708.0
4449,65273.0
4450,64493.0
4451,65371.0
4452,63783.0
4453,65525.0
4454,62467.0
4455,62377.0
4456,60488.0
4457,57715.0
4458,56045.0
4459,54518.0
4460,54218.0
4461,56220.0
4462,56100.0
4463,55428.0
4464,54019.0
4465,53287.0
4466,53611.0
4467,53531.999
4468,53973.0
4469,55777.0
4470,58474.0
4471,59811.999
4472,57203.0
4473,57158.0
4474,54666.0
4475,53936.0
4476,54120.0
4477,53337.0
4478,53178.0
4479,52843.0
4480,51795.0
4481,50874.0
4482,50196.0
4483,48375.0
4484,48266.0
4485,48359.0
4486,46726.0
4487,44356.0
4488,42833.0
4489,42778.0
4490,43486.0
4491,43110.0
4492,41779.0
4493,42115.9999
4494,42853.0
4495,41952.0
4496,42223.0
4497,42379.0
4498,42470.0
4499,42036.0
4500,43744.0
4501,43780.0
4502,44815.0
4503,45704.0
4504,48420.0
4505,49101.0
4506,49223.0
4507,48718.0
4508,48535.0
4509,46785.0
4510,44529.0
4511,43226.0
4512,42020.0
4513,42222.0
4514,41630.0
4515,41442.0
4516,40790.0
4517,40898.0001
4518,42023.0
4519,42442.0
4520,43322.0
4521,45160.0
4522,46251.0
4523,45809.0
4524,46860.0
4525,48160.0
4526,48862.0
4527,49705.0
4528,50614.0
4529,51543.0
4530,52023.0
4531,52034.0
4532,51436.0
4533,49373.0
4534,48417.0
4535,47095.0
4536,46480.0
4537,46060.0
4538,46043.0
4539,45923.0
4540,46417.0
4541,47767.0
4542,52799.0
4543,55823.0
4544,61288.0
4545,61091.0
4546,62502.0
4547,63212.0
4548,59132.0
4549,60335.0
4550,60600.0
4551,63160.0
4552,60323.0
4553,58615.0
4554,58404.0
4555,60279.0
4556,62531.0
4557,59560.0
4558,61515.0
4559,59599.0
4560,58142.999
4561,57552.0
4562,56577.999
4563,56863.0
4564,55823.0
