time,mw,u
6709,0.1,6.33333333333
6710,0.0,6.0
6711,0.0,8.66666666667
6712,0.4,6.66666666667
6713,1.5,3.0
6714,2.2,0.0
6715,1.9,5.66666666667
6716,0.4,5.66666666667
6717,0.0,2.66666666667
6718,0.3,1.0
6719,1.7,1.125
6720,0.4,1.0
6721,0.1,0.0
6722,1.6,3.66666666667
6723,2.4,1.0
6724,2.7,0.0
6725,1.3,2.66666666667
6726,1.7,4.33333333333
6727,3.5,7.0
6728,4.7,8.33333333333
6729,3.6,13.0
6730,2.1,10.0
6731,3.3,12.3333333333
6732,5.0,8.66666666667
6733,7.7,8.0
6734,7.7,9.66666666667
6735,6.9,10.0
6736,6.3,7.66666666667
6737,4.9,4.0
6738,3.0,2.66666666667
6739,2.4,3.66666666667
6740,4.2,2.0
6741,5.4,0.0
6742,6.3,1.0
6743,6.6,5.0
6744,6.7,3.0
6745,6.2,3.66666666667
6746,6.0,3.66666666667
6747,5.2,2.0
6748,5.3,1.66666666667
6749,3.6,5.33333333333
6750,2.4,6.33333333333
6751,3.1,9.33333333333
6752,4.5,10.6666666667
6753,4.3,11.6666666667
6754,3.6,8.0
6755,3.3,14.0
6756,4.4,16.0
6757,3.0,15.0
6758,3.3,12.6666666667
6759,5.5,13.6666666667
6760,6.7,12.0
6761,6.8,10.6666666667
6762,6.2,8.0
6763,5.5,6.0
6764,6.0,7.0
6765,6.1,10.0
6766,6.1,10.6666666667
6767,6.6,10.0
6768,7.2,12.3333333333
6769,7.3,11.6666666667
6770,6.8,10.0
6771,7.3,10.3333333333
6772,6.6,9.66666666667
6773,6.2,9.66666666667
6774,5.8,12.3333333333
6775,4.8,10.3333333333
6776,4.3,10.3333333333
6777,5.5,8.66666666667
6778,4.3,7.66666666667
6779,3.7,5.33333333333
6780,3.7,5.66666666667
6781,3.3,6.33333333333
6782,2.7,9.0
6783,3.6,9.66666666667
6784,5.7,9.33333333333
6785,8.1,7.66666666667
6786,8.6,10.6666666667
6787,8.4,8.0
6788,8.4,9.0
6789,8.5,9.0
6790,8.4,8.0
6791,7.9,8.25
6792,8.5,7.0
6793,8.0,8.0
6794,7.2,8.33333333333
6795,7.3,7.0
6796,5.8,8.33333333333
6797,7.6,7.0
6798,7.9,6.33333333333
6799,6.7,8.33333333333
6800,7.0,8.66666666667
6801,7.9,10.3333333333
